,location_id,location_name,year_id,estimate_type,indicator_id,indicator_short,ihme_indicator_description,indicator_outline,indicator_unit,target_description,goal_description,scaled_value,scaled_lower,scaled_upper
132211,126,Costa Rica,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,30.5,27.8,32.8
132252,127,El Salvador,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,26.2,23.1,29.2
132293,128,Guatemala,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,21.2,17.8,24.8
132334,129,Honduras,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,17.2,13.6,20.3
132375,130,Mexico,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,23.3,19.4,26.8
132416,131,Nicaragua,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,18.9,15.4,22.6
132457,132,Panama,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,20.5,16.8,24.2
132498,133,Venezuela,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,15.6,12.9,18.2
132539,135,Brazil,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,31.7,28.1,34.9
132580,136,Paraguay,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,26.1,22.4,29.9
132621,139,Algeria,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,77.8,73.1,82.7
132662,140,Bahrain,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,65.7,61.2,69.7
132703,141,Egypt,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,27.3,23.5,31.1
132744,142,Iran,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,50.2,45.6,54.2
132785,143,Iraq,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,28.3,24.0,31.8
132826,144,Jordan,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,50.9,46.8,54.9
132867,145,Kuwait,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,82.4,77.6,86.9
132908,146,Lebanon,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,29.2,24.9,32.8
132949,147,Libya,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,69.3,64.5,73.6
132990,148,Morocco,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,58.1,54.1,62.0
133031,149,Palestine,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,21.0,17.2,24.2
133072,150,Oman,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,71.1,66.7,75.5
133113,151,Qatar,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,73.8,69.6,78.3
133154,152,Saudi Arabia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,78.0,73.7,82.4
133195,153,Syria,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,42.7,38.4,46.3
133236,154,Tunisia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,89.8,85.2,94.1
133277,155,Turkey,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,51.0,47.3,54.7
133318,156,United Arab Emirates,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,71.1,66.6,75.0
133359,157,Yemen,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,19.5,15.7,22.7
133400,160,Afghanistan,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,14.8,11.0,17.9
133441,161,Bangladesh,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,23.3,19.2,27.5
133482,162,Bhutan,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,42.4,37.7,46.4
133523,163,India,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,51.5,46.8,55.4
133564,164,Nepal,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,28.4,24.8,32.0
133605,165,Pakistan,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,36.8,32.3,40.5
133646,168,Angola,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,8.7,5.4,12.1
133687,169,Central African Republic,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,17.3,13.7,21.1
133728,170,Congo,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,23.6,19.9,26.7
133769,171,Democratic Republic of the Congo,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,17.5,14.2,20.8
133810,172,Equatorial Guinea,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,11.8,8.2,15.4
133851,173,Gabon,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,26.5,22.2,30.1
133892,175,Burundi,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,31.1,27.2,34.5
133933,176,Comoros,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,36.1,32.3,39.9
133974,177,Djibouti,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,33.0,29.1,37.0
134015,178,Eritrea,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,33.5,29.2,37.3
134056,179,Ethiopia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,16.8,13.2,19.9
134097,180,Kenya,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,23.1,19.1,26.6
134138,181,Madagascar,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,6.9,3.8,10.2
134179,182,Malawi,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,10.9,8.1,13.3
134220,183,Mauritius,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,53.9,49.8,58.4
134261,184,Mozambique,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,14.2,11.3,16.6
134302,185,Rwanda,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,46.2,42.1,49.8
134343,186,Seychelles,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,28.6,25.3,31.8
134384,187,Somalia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,14.7,10.8,18.0
134425,189,Tanzania,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,13.9,10.7,16.7
134466,190,Uganda,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,11.4,8.7,13.8
134507,191,Zambia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,12.4,8.8,15.5
134548,193,Botswana,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,35.4,31.4,38.7
134589,194,Lesotho,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,23.5,20.0,26.5
134630,195,Namibia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,29.3,26.1,32.3
134671,196,South Africa,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,28.3,23.9,32.0
134712,197,Swaziland,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,22.3,18.7,25.4
134753,198,Zimbabwe,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,13.8,10.8,16.4
134794,200,Benin,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,18.5,15.1,21.4
134835,201,Burkina Faso,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,14.1,11.1,16.8
134876,202,Cameroon,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,15.8,12.3,18.9
134917,203,Cape Verde,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,41.7,37.6,45.6
134958,204,Chad,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,0.1,0.0,1.0
134999,205,Cote d'Ivoire,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,13.6,10.3,16.4
135040,206,The Gambia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,22.4,18.4,26.0
135081,207,Ghana,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,32.9,29.0,36.8
135122,208,Guinea,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,8.9,6.2,11.2
135163,209,Guinea-Bissau,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,16.3,12.7,20.0
135204,210,Liberia,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,13.9,10.5,16.7
135245,211,Mali,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,3.3,0.8,5.4
135286,212,Mauritania,2017,past,1036,Adol Birth Rate,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-19 years old",3.7.2,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,23.4,19.6,26.6
